gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.592895708047647865e-02,-4.836336491083996492e-03,-1.781683128888361320e-02
1.758789749178667206e-02,1.793043741347007808e-02,-3.438309214945473730e-02
-3.154107096180031131e-03,-1.775144051844291734e-02,-9.982130027256498617e-02
-3.043527790018711598e-02,-6.128629581356780098e-02,2.695759850462310647e-02
2.760040403260097253e-02,-5.895085857250038225e-02,2.620490274666686242e-02
1.323424027475419811e-02,1.376458827378532895e-02,2.340775755874930503e-02
-6.072644879295551607e-02,-2.614091350383076356e-02,-3.695650007322899555e-02
4.059604496057003797e-02,-4.333521986163524006e-03,4.702097733157287185e-02
4.713424079006604990e-03,5.565846386963520936e-02,-1.655013917588136346e-02
-1.151883178586095985e-02,-3.782188269318909057e-02,-3.005959092108339073e-03
4.169143440884226504e-02,-1.062099564426941672e-01,3.137013712070023733e-03
-3.570295445267475387e-02,4.030436971507184857e-02,-5.132864210825874990e-02
-1.989601118165211166e-02,5.875381044030662109e-02,7.525334341276849505e-03
-1.158909970072801582e-02,2.369661935617311393e-02,3.446911624920894618e-02
1.938293290665147120e-02,8.664553288402043751e-03,7.990481727701080616e-03
-5.821023880613459406e-02,-6.034818433896407819e-02,-7.228566630606375609e-02
2.875507802974473781e-02,-1.212258497092053022e-02,2.019834835544926516e-03
1.979771335976407767e-02,-6.486126934646304840e-03,4.807788482119127946e-03
-5.252365516194294759e-02,-2.998328237389701403e-02,3.498644258122770440e-02
-1.018246691124591492e-02,1.845123766839720097e-02,4.395669051188982185e-02
1.484477729517575013e-02,-3.782468672595174636e-02,-9.442789410693512575e-02
-3.060658133799042807e-02,1.457924890316263621e-02,-2.731732461742664153e-02
-1.986288798901993807e-02,-1.611451467083299671e-02,-1.136184144877545876e-02
6.261274875217463787e-02,-2.127073531801424236e-02,-4.602002731524829082e-02
-2.456880029544039612e-02,-3.631514205184944305e-02,6.806112369822892028e-02
5.819375755439475106e-02,-1.299375521463710936e-02,-6.688141961213639811e-03
-3.463224702194382665e-02,3.664407724414937145e-02,-5.967440191475905514e-02
-3.853295213189180529e-02,3.815604611336408103e-02,-5.056695193740904509e-02
4.964533668525352578e-02,4.716198220359194698e-02,4.774507270691091820e-02
2.866816998484957024e-02,8.581502097191244169e-03,-2.116905634836345820e-02
-6.302604427816875521e-03,-4.365416237045248449e-02,5.705744890359741583e-02
-1.603789620377459729e-02,-3.862204212629592737e-02,3.282749889263729404e-02
4.166459247635857094e-03,1.656522291516987835e-02,-5.666844248443311804e-02
3.864578444414954600e-02,3.683856631000657911e-02,-1.298534948835110205e-04
1.543383602301396165e-02,-1.161009612113221914e-02,-2.913126241470788413e-02
1.000452573433087272e-01,-4.734418055047191765e-02,-4.010690505011993423e-02
9.288115396301152918e-03,7.087855243651494663e-02,-7.417842411580632955e-02
-5.035688209731133125e-02,-4.031212816717104699e-03,4.808873721830105724e-02
-1.083458115749168366e-01,5.294618583963064951e-02,1.525857661134046375e-02
-1.701619166646089207e-03,-3.772703466806520689e-02,-4.540379851671005190e-02
-5.579469747841241806e-02,-1.727231925974849480e-02,-5.445610135865563625e-03
-3.429157094727555005e-02,2.048018358935470296e-02,-5.001626615932956016e-02
-1.834991302442897515e-02,-1.779388541484062600e-02,1.602601149326603538e-03
-4.414394854881172753e-02,-5.927311424664767625e-02,5.260744674416673733e-02
3.233946290759673412e-03,3.205817329077027822e-02,1.137037194238261183e-02
-2.589026340722904579e-02,1.207943798146280008e-02,1.611793521581888697e-02
3.448178429056796002e-02,-3.098404080586593390e-02,1.023823300810522245e-02
-7.402295848426640457e-02,1.916737258498920141e-02,6.329704107592801221e-02
1.306520293015363309e-03,6.962481776167814274e-02,1.261021615565874852e-02
-2.498578691489055162e-02,2.981237205829261744e-02,-3.732291473852984709e-02
-5.164306516160941524e-02,-1.574404340491780338e-02,-1.572470397548466139e-02
-9.540518640225257793e-03,1.268169462577604933e-01,-8.599530089241680386e-02
-5.670422709232326997e-02,5.678271633421166920e-02,6.784063204407460301e-02
-2.816487253295496540e-02,1.693755587083712461e-02,1.041198830620063305e-02
-5.422815690206255748e-04,-7.144125422547747961e-03,-8.061780830823639388e-02
-2.242074425727959980e-03,-2.880415037094049419e-02,6.745060116803659397e-03
2.698836981367125007e-02,-9.903783249655558583e-04,-1.371870218966814679e-02
4.127524374875488067e-02,-2.824676949587767022e-02,-1.945015703079231578e-02
